,Task_ID_x,Task,Job_Title,Function,Answer_17,Answer_18,Answer_19,Answer_20,Answer_21,EPOCH_ml,avg_epoch
1258,18896,assess risk levels associated with collective bargaining strategies,Labor Relations Specialists,Business and Financial Operations Occupations,4,3,4,4,4,-0.9763912499376743,3.8
1259,18889,present the position of the company or of labor during arbitration or other labor negotiations,Labor Relations Specialists,Business and Financial Operations Occupations,4,4,4,4,4,-1.197586662492321,4.0
1260,18881,identify alternatives to proposals of unions employees companies or government agencies,Labor Relations Specialists,Business and Financial Operations Occupations,4,3,4,4,3,-0.9087968988880399,3.6
1261,18880,draft rules or regulations to govern collective bargaining activities in collaboration with company government or employee representatives,Labor Relations Specialists,Business and Financial Operations Occupations,4,4,4,3,3,-1.095728001785702,3.6
1266,18903,select mediators or arbitrators for labor disputes or contract negotiations,Labor Relations Specialists,Business and Financial Operations Occupations,4,3,4,3,3,-0.8745325892310554,3.4
1267,18897,assess the impact of union proposals on company or government operations,Labor Relations Specialists,Business and Financial Operations Occupations,4,3,4,3,3,-0.8745325892310554,3.4
1268,18877,advise management on matters related to the administration of contracts or employee discipline or grievance procedures,Labor Relations Specialists,Business and Financial Operations Occupations,4,3,4,3,3,-0.8745325892310554,3.4
1269,18904,train managers or supervisors on topics related to labor relations such as working conditions safety or equal opportunity practices,Labor Relations Specialists,Business and Financial Operations Occupations,4,4,4,3,3,-1.095728001785702,3.6
1270,18901,provide expert testimony in legal proceedings related to labor relations or labor contracts,Labor Relations Specialists,Business and Financial Operations Occupations,4,4,4,3,3,-1.095728001785702,3.6
1271,18898,develop employee health and safety policies,Labor Relations Specialists,Business and Financial Operations Occupations,4,3,4,3,3,-0.8745325892310554,3.4
1272,18899,develop methods to monitor employee satisfaction with policies or working conditions including grievance or complaint procedures,Labor Relations Specialists,Business and Financial Operations Occupations,4,3,4,3,3,-0.8745325892310554,3.4
1275,8932,maintain and develop positive business relationships with a customers key personnel involved in or directly relevant to a logistics activity,Logisticians,Business and Financial Operations Occupations,4,4,3,3,3,-0.9519914093725937,3.4
1277,8950,manage subcontractor activities reviewing proposals developing performance specifications and serving as liaisons between subcontractors and organizations,Logisticians,Business and Financial Operations Occupations,4,3,4,3,3,-0.8745325892310554,3.4
1281,8949,redesign the movement of goods to maximize value and minimize costs,Logisticians,Business and Financial Operations Occupations,3,3,3,4,4,-0.5191236321500025,3.4
1283,8939,direct team activities establishing task priorities scheduling and tracking work assignments providing guidance and ensuring the availability of resources,Logisticians,Business and Financial Operations Occupations,4,3,4,3,4,-0.9421269402806898,3.6
1284,20847,perform managerial duties such as hiring and training employees and overseeing facility needs or requirements,Logisticians,Business and Financial Operations Occupations,4,3,4,3,4,-0.9421269402806898,3.6
1297,15861,propose logistics solutions for customers,Logistics Engineers,Business and Financial Operations Occupations,3,3,4,4,3,-0.5952658735134765,3.4
1317,15863,interview key staff or tour facilities to identify efficiencyimprovement costreduction or servicedelivery opportunities,Logistics Engineers,Business and Financial Operations Occupations,3,4,3,4,3,-0.6727246936550147,3.4
1318,20000,design comprehensive supply chains that minimize environmental impacts or costs,Logistics Engineers,Business and Financial Operations Occupations,3,3,4,4,4,-0.6628602245631109,3.6
1352,20013,compare locations or environmental policies of carriers or suppliers to make transportation decisions with lower environmental impact,Logistics Analysts,Business and Financial Operations Occupations,3,3,4,4,3,-0.5952658735134765,3.4
1354,21462,assign duties or responsibilities to project personnel,Project Management Specialists,Business and Financial Operations Occupations,3,3,4,3,4,-0.6285959149061263,3.4
1355,21463,communicate with key stakeholders to determine project requirements and objectives,Project Management Specialists,Business and Financial Operations Occupations,4,3,4,3,4,-0.9421269402806898,3.6
1356,21464,confer with project personnel to identify and resolve problems,Project Management Specialists,Business and Financial Operations Occupations,4,3,4,3,3,-0.8745325892310554,3.4
1358,21466,develop or update project plans including information such as objectives technologies schedules funding and staffing,Project Management Specialists,Business and Financial Operations Occupations,3,3,4,3,4,-0.6285959149061263,3.4
1363,21471,monitor the performance of project team members to provide performance feedback,Project Management Specialists,Business and Financial Operations Occupations,4,3,4,3,4,-0.9421269402806898,3.6
1368,21476,propose review or approve modifications to project plans,Project Management Specialists,Business and Financial Operations Occupations,3,3,4,4,4,-0.6628602245631109,3.6
1369,21477,recruit or hire project personnel,Project Management Specialists,Business and Financial Operations Occupations,4,3,4,3,3,-0.8745325892310554,3.4
1375,7278,confer with personnel concerned to ensure successful functioning of newly implemented systems or procedures,Management Analysts,Business and Financial Operations Occupations,4,3,4,3,3,-0.8745325892310554,3.4
1378,7285,plan study of work problems and procedures such as organizational change communications information flow integrated production methods inventory control or cost analysis,Management Analysts,Business and Financial Operations Occupations,3,3,3,4,4,-0.5191236321500025,3.4
1379,7281,interview personnel and conduct onsite observation to ascertain unit functions work performed and methods equipment and personnel used,Management Analysts,Business and Financial Operations Occupations,4,4,4,3,3,-1.095728001785702,3.6
1381,7280,review forms and reports and confer with management and users about format distribution and purpose identifying problems and improvements,Management Analysts,Business and Financial Operations Occupations,3,3,4,4,3,-0.5952658735134765,3.4
1385,1209,consult with customers to determine objectives and requirements for events such as meetings conferences and conventions,"Meeting, Convention, and Event Planners",Business and Financial Operations Occupations,4,4,3,4,3,-0.9862557190295783,3.6
1387,1214,coordinate services for events such as accommodation and transportation for participants facilities catering signage displays special needs requirements printing and event security,"Meeting, Convention, and Event Planners",Business and Financial Operations Occupations,4,4,3,3,3,-0.9519914093725937,3.4
1389,1211,confer with staff at a chosen event site to coordinate details,"Meeting, Convention, and Event Planners",Business and Financial Operations Occupations,4,4,3,3,3,-0.9519914093725937,3.4
1392,1210,monitor event activities to ensure compliance with applicable regulations and laws satisfaction of participants and resolution of any problems that arise,"Meeting, Convention, and Event Planners",Business and Financial Operations Occupations,4,4,4,3,3,-1.095728001785702,3.6
1393,1219,negotiate contracts with such service providers and suppliers as hotels convention centers and speakers,"Meeting, Convention, and Event Planners",Business and Financial Operations Occupations,4,3,3,4,3,-0.7650603064749315,3.4
1394,1222,evaluate and select providers of services according to customer requirements,"Meeting, Convention, and Event Planners",Business and Financial Operations Occupations,4,3,4,3,3,-0.8745325892310554,3.4
1395,1213,plan and develop programs agendas budgets and services according to customer requirements,"Meeting, Convention, and Event Planners",Business and Financial Operations Occupations,4,4,3,4,4,-1.0538500700792128,3.8
1396,1226,hire train and supervise volunteers and support staff required for events,"Meeting, Convention, and Event Planners",Business and Financial Operations Occupations,4,4,3,3,4,-1.0195857604222283,3.6
1397,1218,conduct postevent evaluations to determine how future events could be improved,"Meeting, Convention, and Event Planners",Business and Financial Operations Occupations,4,3,3,4,3,-0.7650603064749315,3.4
1399,1220,meet with sponsors and organizing committees to plan scope and format of events to establish and monitor budgets or to review administrative procedures and event progress,"Meeting, Convention, and Event Planners",Business and Financial Operations Occupations,4,4,4,3,4,-1.1633223528353365,3.8
1402,1229,develop event topics and choose featured speakers,"Meeting, Convention, and Event Planners",Business and Financial Operations Occupations,4,3,3,4,3,-0.7650603064749315,3.4
1403,1228,promote conference convention and trades show services by performing tasks such as meeting with professional and trade associations and producing brochures and other publications,"Meeting, Convention, and Event Planners",Business and Financial Operations Occupations,4,4,3,4,3,-0.9862557190295783,3.6
1404,1225,design and implement efforts to publicize events and promote sponsorships,"Meeting, Convention, and Event Planners",Business and Financial Operations Occupations,4,3,3,4,3,-0.7650603064749315,3.4
1406,18917,identify and build relationships with potential donors,Fundraisers,Business and Financial Operations Occupations,4,4,4,4,4,-1.197586662492321,4.0
1407,18922,secure commitments of participation or donation from individuals or corporate donors,Fundraisers,Business and Financial Operations Occupations,4,4,3,3,4,-1.0195857604222283,3.6
1409,18923,solicit cash or inkind donations or sponsorships from individual business or government donors,Fundraisers,Business and Financial Operations Occupations,4,4,4,4,4,-1.197586662492321,4.0
1411,18912,develop strategies to encourage new or increased contributions,Fundraisers,Business and Financial Operations Occupations,4,4,4,4,4,-1.197586662492321,4.0
1412,18911,develop or implement fundraising activities such as annual giving campaigns or direct mail programs,Fundraisers,Business and Financial Operations Occupations,4,3,4,4,4,-0.9763912499376743,3.8
1415,18910,develop fundraising activity plans that maximize participation or contributions and minimize costs,Fundraisers,Business and Financial Operations Occupations,4,4,4,4,4,-1.197586662492321,4.0
1416,18914,direct or supervise fundraising staff including volunteer staff members,Fundraisers,Business and Financial Operations Occupations,4,3,4,3,4,-0.9421269402806898,3.6
1419,18921,recruit sponsors participants or volunteers for fundraising events,Fundraisers,Business and Financial Operations Occupations,4,4,3,4,4,-1.0538500700792128,3.8
1420,18906,contact corporate representatives government officials or community leaders to increase awareness of organizational causes activities or needs,Fundraisers,Business and Financial Operations Occupations,4,4,3,4,4,-1.0538500700792128,3.8
1421,18905,attend community events meetings or conferences to promote organizational goals or solicit donations or sponsorships,Fundraisers,Business and Financial Operations Occupations,4,4,3,3,4,-1.0195857604222283,3.6
1425,18924,write speeches press releases or other promotional materials to increase awareness of the causes missions or goals of organizations seeking funds,Fundraisers,Business and Financial Operations Occupations,4,2,4,4,4,-0.7551958373830276,3.6
1427,18920,plan and direct special events for fundraising such as silent auctions dances golf events or walks,Fundraisers,Business and Financial Operations Occupations,4,4,3,4,4,-1.0538500700792128,3.8
1429,18930,secure speakers for charitable events community meetings or conferences to increase awareness of charitable nonprofit or political causes,Fundraisers,Business and Financial Operations Occupations,4,4,3,4,3,-0.9862557190295783,3.6
1430,18909,develop corporate fundraising programs such as employer giftmatching,Fundraisers,Business and Financial Operations Occupations,4,3,4,4,4,-0.9763912499376743,3.8
1436,3363,research employee benefit and health and safety practices and recommend changes or modifications to existing policies,"Compensation, Benefits, and Job Analysis Specialists",Business and Financial Operations Occupations,3,3,4,4,3,-0.5952658735134765,3.4
1438,3369,plan and develop curricula and materials for training programs and conduct training,"Compensation, Benefits, and Job Analysis Specialists",Business and Financial Operations Occupations,4,3,3,4,4,-0.8326546575245659,3.6
1443,3371,consult with or serve as technical liaison between business industry government and union officials,"Compensation, Benefits, and Job Analysis Specialists",Business and Financial Operations Occupations,4,3,4,3,3,-0.8745325892310554,3.4
1445,3361,develop implement administer and evaluate personnel and labor relations programs including performance appraisal affirmative action and employment equity programs,"Compensation, Benefits, and Job Analysis Specialists",Business and Financial Operations Occupations,4,3,4,3,3,-0.8745325892310554,3.4
1447,3360,negotiate collective agreements on behalf of employers or workers and mediate labor disputes and grievances,"Compensation, Benefits, and Job Analysis Specialists",Business and Financial Operations Occupations,4,4,4,3,3,-1.095728001785702,3.6
1450,3370,observe interview and survey employees and conduct focus group meetings to collect job organizational and occupational information,"Compensation, Benefits, and Job Analysis Specialists",Business and Financial Operations Occupations,4,4,3,3,3,-0.9519914093725937,3.4
1451,3354,plan develop evaluate improve and communicate methods and techniques for selecting promoting compensating evaluating and training workers,"Compensation, Benefits, and Job Analysis Specialists",Business and Financial Operations Occupations,4,3,4,4,4,-0.9763912499376743,3.8
1456,94,present information with a variety of instructional techniques or formats such as role playing simulations team exercises group discussions videos or lectures,Training and Development Specialists,Business and Financial Operations Occupations,4,4,3,4,4,-1.0538500700792128,3.8
1459,97,offer specific training programs to help workers maintain or improve job skills,Training and Development Specialists,Business and Financial Operations Occupations,4,3,3,4,4,-0.8326546575245659,3.6
1460,103,assess training needs through surveys interviews with employees focus groups or consultation with managers instructors or customer representatives,Training and Development Specialists,Business and Financial Operations Occupations,4,4,3,3,3,-0.9519914093725937,3.4
1462,20474,design plan organize or direct orientation and training programs for employees or customers,Training and Development Specialists,Business and Financial Operations Occupations,4,4,3,4,4,-1.0538500700792128,3.8
1466,106,devise programs to develop executive potential among employees in lowerlevel positions,Training and Development Specialists,Business and Financial Operations Occupations,4,3,4,4,4,-0.9763912499376743,3.8
1469,100,coordinate recruitment and placement of training program participants,Training and Development Specialists,Business and Financial Operations Occupations,4,3,4,3,3,-0.8745325892310554,3.4
1471,108,negotiate contracts with clients for desired training outcomes fees or expenses,Training and Development Specialists,Business and Financial Operations Occupations,4,3,4,3,3,-0.8745325892310554,3.4
1472,20477,supervise evaluate or refer instructors to skill development classes,Training and Development Specialists,Business and Financial Operations Occupations,4,3,4,3,4,-0.9421269402806898,3.6
1475,19558,develop or implement training programs related to efficiency recycling or other issues with environmental impacts,Training and Development Specialists,Business and Financial Operations Occupations,4,3,3,4,4,-0.8326546575245659,3.6
1487,5445,direct trained survey interviewers,Market Research Analysts and Marketing Specialists,Business and Financial Operations Occupations,4,3,4,3,4,-0.9421269402806898,3.6
1499,16189,collaborate with other marketing staff to integrate and complement marketing strategies across multiple sales channels,Search Marketing Strategists,Business and Financial Operations Occupations,4,3,3,4,4,-0.8326546575245659,3.6
1504,16179,propose online or multiplesaleschannel campaigns to marketing executives,Search Marketing Strategists,Business and Financial Operations Occupations,3,3,3,4,4,-0.5191236321500025,3.4
1517,16177,define product requirements based on market research analysis in collaboration with user interface design and engineering staff,Search Marketing Strategists,Business and Financial Operations Occupations,3,3,4,4,4,-0.6628602245631109,3.6
1519,16178,assist in the evaluation or negotiation of contracts with vendors or online partners,Search Marketing Strategists,Business and Financial Operations Occupations,4,3,4,4,3,-0.9087968988880399,3.6
1522,20323,execute and manage communications with digital journalists or bloggers,Search Marketing Strategists,Business and Financial Operations Occupations,4,3,3,4,3,-0.7650603064749315,3.4
1525,15965,develop emergency management plans for recovery decision making and communications continuity of critical departmental processes or temporary shutdown of noncritical departments to ensure continuity of operation and governance,Business Continuity Planners,Business and Financial Operations Occupations,3,3,4,3,4,-0.6285959149061263,3.4
1526,15962,develop disaster recovery plans for physical locations with critical assets such as data centers,Business Continuity Planners,Business and Financial Operations Occupations,3,3,4,4,4,-0.6628602245631109,3.6
1528,15960,analyze impact on and risk to essential business functions or information systems to identify acceptable recovery time periods and resource requirements,Business Continuity Planners,Business and Financial Operations Occupations,3,3,4,4,3,-0.5952658735134765,3.4
1530,15957,review existing disaster recovery crisis management or business continuity plans,Business Continuity Planners,Business and Financial Operations Occupations,3,3,4,3,4,-0.6285959149061263,3.4
1531,15963,create scenarios to reestablish operations from various types of business disruptions,Business Continuity Planners,Business and Financial Operations Occupations,3,3,4,4,4,-0.6628602245631109,3.6
1533,15964,conduct or oversee contingency plan integration and operation,Business Continuity Planners,Business and Financial Operations Occupations,3,3,4,4,4,-0.6628602245631109,3.6
1534,15961,identify opportunities for strategic improvement or mitigation of business interruption and other risks caused by business regulatory or industryspecific change initiatives,Business Continuity Planners,Business and Financial Operations Occupations,3,3,4,4,4,-0.6628602245631109,3.6
1539,15958,recommend or implement methods to monitor evaluate or enable resolution of safety operations or compliance interruptions,Business Continuity Planners,Business and Financial Operations Occupations,3,3,4,4,3,-0.5952658735134765,3.4
1542,15952,design or implement products and services to mitigate risk or facilitate use of technologybased tools and methods,Business Continuity Planners,Business and Financial Operations Occupations,3,3,4,4,4,-0.6628602245631109,3.6
1544,15966,conduct or oversee collection of corporate intelligence to avoid fraud financial crime cyber attack terrorism and infrastructure failure,Business Continuity Planners,Business and Financial Operations Occupations,3,3,4,4,3,-0.5952658735134765,3.4
1546,15981,develop sustainability project goals objectives initiatives or strategies in collaboration with other sustainability professionals,Sustainability Specialists,Business and Financial Operations Occupations,4,3,4,4,4,-0.9763912499376743,3.8
1548,15979,assess or propose sustainability initiatives considering factors such as cost effectiveness technical feasibility and acceptance,Sustainability Specialists,Business and Financial Operations Occupations,3,3,4,4,4,-0.6628602245631109,3.6
1550,15968,review and revise sustainability proposals or policies,Sustainability Specialists,Business and Financial Operations Occupations,3,3,4,4,3,-0.5952658735134765,3.4
1552,15975,create or maintain plans or other documents related to sustainability projects,Sustainability Specialists,Business and Financial Operations Occupations,3,3,4,4,4,-0.6628602245631109,3.6
1556,15971,identify or create new sustainability indicators,Sustainability Specialists,Business and Financial Operations Occupations,3,3,4,4,4,-0.6628602245631109,3.6
1587,21485,design security policies programs or practices to ensure adequate security relating to alarm response access card use and other security needs,Security Management Specialists,Business and Financial Operations Occupations,3,3,4,4,4,-0.6628602245631109,3.6
1588,21486,design implement or establish requirements for security systems video surveillance motion detection or closedcircuit television systems to ensure proper installation and operation,Security Management Specialists,Business and Financial Operations Occupations,3,3,4,4,3,-0.5952658735134765,3.4
1589,21487,develop conceptual designs of security systems,Security Management Specialists,Business and Financial Operations Occupations,3,3,4,4,3,-0.5952658735134765,3.4
1590,21488,develop or review specifications for design or construction of security systems,Security Management Specialists,Business and Financial Operations Occupations,3,3,4,4,4,-0.6628602245631109,3.6
1594,21492,interview witnesses or suspects to identify persons responsible for security breaches or to establish losses pursue prosecutions or obtain restitution,Security Management Specialists,Business and Financial Operations Occupations,4,4,4,2,3,-1.0614636921287175,3.4
1597,21495,outline system security criteria for prebid meetings with clients and companies to ensure comprehensiveness and appropriateness for implementation,Security Management Specialists,Business and Financial Operations Occupations,3,3,4,4,3,-0.5952658735134765,3.4
1601,21499,provide system design and integration recommendations,Security Management Specialists,Business and Financial Operations Occupations,3,3,4,4,4,-0.6628602245631109,3.6
1602,21500,recommend improvements in security systems or procedures,Security Management Specialists,Business and Financial Operations Occupations,3,3,4,4,3,-0.5952658735134765,3.4
1603,21501,respond to emergency situations on an oncall basis,Security Management Specialists,Business and Financial Operations Occupations,4,4,4,3,3,-1.095728001785702,3.6
1641,21554,explain assessed values to property owners and defend appealed assessments at public hearings,Appraisers and Assessors of Real Estate,Business and Financial Operations Occupations,4,4,4,3,3,-1.095728001785702,3.6
1655,21568,interview persons familiar with properties and immediate surroundings such as contractors home owners and realtors to obtain pertinent information,Appraisers and Assessors of Real Estate,Business and Financial Operations Occupations,4,4,4,3,2,-1.0281336507360677,3.4
1686,21579,advise clients on aspects of capitalization such as amounts sources or timing,Financial and Investment Analysts,Business and Financial Operations Occupations,3,3,4,4,4,-0.6628602245631109,3.6
1687,21580,analyze financial or operational performance of companies facing financial difficulties to identify or recommend remedies,Financial and Investment Analysts,Business and Financial Operations Occupations,3,3,4,4,4,-0.6628602245631109,3.6
1689,21582,collaborate on projects with other professionals such as lawyers accountants or public relations experts,Financial and Investment Analysts,Business and Financial Operations Occupations,4,3,3,4,3,-0.7650603064749315,3.4
1690,21583,collaborate with investment bankers to attract new corporate clients,Financial and Investment Analysts,Business and Financial Operations Occupations,4,3,4,4,3,-0.9087968988880399,3.6
1692,21585,confer with clients to restructure debt refinance debt or raise new debt,Financial and Investment Analysts,Business and Financial Operations Occupations,4,3,4,3,3,-0.8745325892310554,3.4
1709,21602,recommend investments and investment timing to companies investment firm staff or the public,Financial and Investment Analysts,Business and Financial Operations Occupations,3,3,4,4,4,-0.6628602245631109,3.6
1710,21603,specialize in green financial instruments such as socially responsible mutual funds or exchangetraded funds etf that are comprised of green companies,Financial and Investment Analysts,Business and Financial Operations Occupations,3,3,4,4,3,-0.5952658735134765,3.4
1711,21604,supervise train or mentor junior team members,Financial and Investment Analysts,Business and Financial Operations Occupations,4,4,4,3,4,-1.1633223528353365,3.8
1712,12907,interview clients to determine their current income expenses insurance coverage tax status financial objectives risk tolerance or other information needed to develop a financial plan,Personal Financial Advisors,Business and Financial Operations Occupations,4,4,4,3,3,-1.095728001785702,3.6
1713,12904,analyze financial information obtained from clients to determine strategies for meeting clients financial objectives,Personal Financial Advisors,Business and Financial Operations Occupations,4,3,4,4,3,-0.9087968988880399,3.6
1714,12905,answer clients questions about the purposes and details of financial plans and strategies,Personal Financial Advisors,Business and Financial Operations Occupations,4,4,4,3,3,-1.095728001785702,3.6
1715,20183,review clients accounts and plans regularly to determine whether life changes economic changes environmental concerns or financial performance indicate a need for plan reassessment,Personal Financial Advisors,Business and Financial Operations Occupations,4,3,4,4,4,-0.9763912499376743,3.8
1716,20184,manage client portfolios keeping client plans uptodate,Personal Financial Advisors,Business and Financial Operations Occupations,4,3,4,3,3,-0.8745325892310554,3.4
1717,20182,recommend to clients strategies in cash management insurance coverage investment planning or other areas to help them achieve their financial goals,Personal Financial Advisors,Business and Financial Operations Occupations,4,3,4,4,3,-0.9087968988880399,3.6
1718,20189,recommend financial products such as stocks bonds mutual funds or insurance,Personal Financial Advisors,Business and Financial Operations Occupations,4,3,4,3,3,-0.8745325892310554,3.4
1719,12909,implement financial planning recommendations or refer clients to someone who can assist them with plan implementation,Personal Financial Advisors,Business and Financial Operations Occupations,4,3,4,3,3,-0.8745325892310554,3.4
1720,12915,contact clients periodically to determine any changes in their financial status,Personal Financial Advisors,Business and Financial Operations Occupations,4,3,4,3,3,-0.8745325892310554,3.4
1722,20186,explain to clients the personal financial advisors responsibilities and the types of services to be provided,Personal Financial Advisors,Business and Financial Operations Occupations,4,3,4,3,3,-0.8745325892310554,3.4
1723,20187,investigate available investment opportunities to determine compatibility with client financial plans,Personal Financial Advisors,Business and Financial Operations Occupations,4,3,4,3,3,-0.8745325892310554,3.4
1725,20188,monitor financial market trends to ensure that client plans are responsive,Personal Financial Advisors,Business and Financial Operations Occupations,3,3,4,4,4,-0.6628602245631109,3.6
1726,20185,recruit and maintain client bases,Personal Financial Advisors,Business and Financial Operations Occupations,4,4,3,3,3,-0.9519914093725937,3.4
1727,12916,meet with clients other advisors such as attorneys accountants trust officers or investment bankers to fully understand clients financial goals and circumstances,Personal Financial Advisors,Business and Financial Operations Occupations,4,3,4,3,3,-0.8745325892310554,3.4
1728,12917,devise debt liquidation plans that include payoff priorities and timelines,Personal Financial Advisors,Business and Financial Operations Occupations,4,3,4,4,3,-0.9087968988880399,3.6
1731,19571,recommend environmentally responsible investments such as cleantech alternative energy or conservation technologies companies or funds,Personal Financial Advisors,Business and Financial Operations Occupations,4,3,4,3,3,-0.8745325892310554,3.4
1732,12919,conduct seminars or workshops on financial planning topics such as retirement planning estate planning or the evaluation of severance packages,Personal Financial Advisors,Business and Financial Operations Occupations,4,4,4,3,3,-1.095728001785702,3.6
1745,21610,contribute to development of risk management systems,Financial Risk Specialists,Business and Financial Operations Occupations,3,3,4,4,3,-0.5952658735134765,3.4
1746,21611,determine potential environmental impacts of new products or processes on longterm growth and profitability,Financial Risk Specialists,Business and Financial Operations Occupations,3,2,4,4,4,-0.4416648120084642,3.4
1747,21612,develop contingency plans to deal with emergencies,Financial Risk Specialists,Business and Financial Operations Occupations,3,3,4,3,4,-0.6285959149061263,3.4
1754,21619,evaluate the risks and benefits involved in implementing green building technologies,Financial Risk Specialists,Business and Financial Operations Occupations,3,3,4,4,4,-0.6628602245631109,3.6
1755,21620,evaluate the risks related to green investments such as renewable energy company stocks,Financial Risk Specialists,Business and Financial Operations Occupations,3,3,4,4,4,-0.6628602245631109,3.6
1761,21626,meet with clients to answer queries on subjects such as risk exposure market scenarios or valuesatrisk calculations,Financial Risk Specialists,Business and Financial Operations Occupations,4,4,4,3,3,-1.095728001785702,3.6
1763,21628,prepare plans of action for investment using financial analyses,Financial Risk Specialists,Business and Financial Operations Occupations,3,3,4,4,4,-0.6628602245631109,3.6
1766,21631,recommend investments and investment timing to companies investment firm staff or the public,Financial Risk Specialists,Business and Financial Operations Occupations,3,3,4,4,3,-0.5952658735134765,3.4
1770,7324,direct and participate in formal and informal meetings with bank directors trustees senior management counsels outside accountants and consultants to gather information and discuss findings,Financial Examiners,Business and Financial Operations Occupations,4,4,4,3,3,-1.095728001785702,3.6
1776,7316,plan supervise and review work of assigned subordinates,Financial Examiners,Business and Financial Operations Occupations,3,3,4,3,4,-0.6285959149061263,3.4
1779,7322,train other examiners in the financial examination process,Financial Examiners,Business and Financial Operations Occupations,4,3,4,3,3,-0.8745325892310554,3.4
1786,7329,confer with officials of real estate securities or financial institution industries to exchange views and discuss issues or pending cases,Financial Examiners,Business and Financial Operations Occupations,4,3,4,3,3,-0.8745325892310554,3.4
1788,18938,explain services or policies to clients such as debt management program rules advantages and disadvantages of using services or creditor concession policies,Credit Counselors,Business and Financial Operations Occupations,4,3,4,3,3,-0.8745325892310554,3.4
1789,18936,create debt management plans spending plans or budgets to assist clients to meet financial goals,Credit Counselors,Business and Financial Operations Occupations,4,3,4,3,3,-0.8745325892310554,3.4
1790,18943,prioritize client debt repayment to avoid dire consequences such as bankruptcy or foreclosure or to reduce overall costs such as by paying highinterest or shortterm loans first,Credit Counselors,Business and Financial Operations Occupations,4,3,4,3,3,-0.8745325892310554,3.4
1791,18934,assess clients overall financial situations by reviewing income assets debts expenses credit reports or other financial information,Credit Counselors,Business and Financial Operations Occupations,4,3,4,3,3,-0.8745325892310554,3.4
1792,18945,recommend strategies for clients to meet their financial goals such as borrowing money through loans or loan programs declaring bankruptcy making budget adjustments or enrolling in debt management plans,Credit Counselors,Business and Financial Operations Occupations,4,3,4,4,3,-0.9087968988880399,3.6
1799,18950,create action plans to assist clients in obtaining permanent housing via rent or mortgage programs,Credit Counselors,Business and Financial Operations Occupations,4,3,4,3,3,-0.8745325892310554,3.4
1801,18947,review changes to financial family or employment situations to determine whether changes to existing debt management plans spending plans or budgets are needed,Credit Counselors,Business and Financial Operations Occupations,4,3,4,3,3,-0.8745325892310554,3.4
1802,18944,recommend educational materials or resources to clients on matters such as financial planning budgeting or credit,Credit Counselors,Business and Financial Operations Occupations,4,3,4,3,3,-0.8745325892310554,3.4
1803,18946,refer clients to social service or community resources for needs beyond those of credit or debt counseling,Credit Counselors,Business and Financial Operations Occupations,4,3,4,3,3,-0.8745325892310554,3.4
1805,18955,teach courses or seminars on topics such as budgeting management of personal finances or financial literacy,Credit Counselors,Business and Financial Operations Occupations,4,4,3,3,3,-0.9519914093725937,3.4
1806,18949,conduct research to help clients avoid repossessions or foreclosures or remove levies or wage garnishments,Credit Counselors,Business and Financial Operations Occupations,4,3,4,3,3,-0.8745325892310554,3.4
1810,3410,explain to customers the different types of loans and credit options that are available as well as the terms of those services,Loan Officers,Business and Financial Operations Occupations,4,3,4,3,3,-0.8745325892310554,3.4
1815,3418,work with clients to identify their financial goals and to find ways of reaching those goals,Loan Officers,Business and Financial Operations Occupations,4,3,4,3,3,-0.8745325892310554,3.4
1821,3422,supervise loan personnel,Loan Officers,Business and Financial Operations Occupations,4,3,4,3,4,-0.9421269402806898,3.6
1823,3423,set credit policies credit lines procedures and standards in conjunction with senior managers,Loan Officers,Business and Financial Operations Occupations,3,3,4,3,4,-0.6285959149061263,3.4
1830,21641,counsel clients on personal and family financial problems such as excessive spending or borrowing of funds,Loan Officers,Business and Financial Operations Occupations,4,4,4,3,3,-1.095728001785702,3.6
1834,21645,match individuals needs and eligibility with available financial aid programs to provide informed recommendations,Loan Officers,Business and Financial Operations Occupations,4,3,4,3,3,-0.8745325892310554,3.4
1866,20364,explain federal and state tax laws to individuals and companies,Tax Preparers,Business and Financial Operations Occupations,4,3,4,3,3,-0.8745325892310554,3.4
1867,20363,answer questions and provide future tax planning to clients,Tax Preparers,Business and Financial Operations Occupations,4,3,4,3,3,-0.8745325892310554,3.4
1884,19574,develop methods of assessing or measuring corporate performance in terms of environmental social and governance esg issues,Financial Quantitative Analysts,Business and Financial Operations Occupations,3,3,4,4,3,-0.5952658735134765,3.4
1892,16049,interview witnesses or suspects and take statements,"Fraud Examiners, Investigators and Analysts",Business and Financial Operations Occupations,4,4,4,3,3,-1.095728001785702,3.6
1896,16055,coordinate investigative efforts with law enforcement officers and attorneys,"Fraud Examiners, Investigators and Analysts",Business and Financial Operations Occupations,4,4,4,3,3,-1.095728001785702,3.6
1897,16048,lead or participate in fraud investigation teams,"Fraud Examiners, Investigators and Analysts",Business and Financial Operations Occupations,4,3,4,4,4,-0.9763912499376743,3.8
1898,16043,testify in court regarding investigation findings,"Fraud Examiners, Investigators and Analysts",Business and Financial Operations Occupations,4,4,4,2,3,-1.0614636921287175,3.4
1900,16047,recommend actions in fraud cases,"Fraud Examiners, Investigators and Analysts",Business and Financial Operations Occupations,4,3,4,3,3,-0.8745325892310554,3.4
1902,16050,design implement or maintain fraud detection tools or procedures,"Fraud Examiners, Investigators and Analysts",Business and Financial Operations Occupations,3,3,4,4,3,-0.5952658735134765,3.4
